央视频道,#genre#
CCTV1,http://222.70.229.193:8888/udp/239.45.3.145:5140
CCTV1,http://180.158.49.94:85/udp/239.45.3.145:5140
CCTV1,http://61.134.238.252:5555/rtp/226.0.2.153:9136
CCTV1,http://61.134.238.252:5555/rtp/226.0.2.16:8040
CCTV1,http://61.134.238.252:5555/rtp/226.0.2.18:8056
CCTV1,http://106.46.113.15:8011/tsfile/live/0001_1.m3u8
CCTV1,http://223.13.196.104:4022/udp/239.1.1.7:8007
CCTV1,http://144.52.199.170:8888/udp/239.21.1.120:5002
CCTV1,http://144.52.199.170:8888/udp/239.21.1.1:5002
CCTV1,http://183.186.47.192:8086/rtp/226.0.2.153:9136
CCTV1,http://183.186.47.192:8086/rtp/226.0.2.16:8040
CCTV1,http://183.186.47.192:8086/rtp/226.0.2.18:8056
CCTV1,http://115.153.138.220:8888/udp/239.252.219.200:5140
CCTV1,http://171.116.181.119:8003/rtp/226.0.2.153:9136
CCTV1,http://171.116.181.119:8003/rtp/226.0.2.16:8040
CCTV1,http://171.116.181.119:8003/rtp/226.0.2.18:8056
CCTV1,http://118.112.90.2:8888/udp/239.93.0.184:5140
CCTV1,http://118.112.90.2:8888/udp/239.93.0.148:5140
CCTV1,http://171.217.146.226:8888/udp/239.93.0.184:5140
CCTV1,http://171.217.146.226:8888/udp/239.93.0.148:5140
CCTV1,http://60.223.72.132:8003/rtp/226.0.2.153:9136
CCTV1,http://60.223.72.132:8003/rtp/226.0.2.16:8040
CCTV1,http://60.223.72.132:8003/rtp/226.0.2.18:8056
CCTV1,http://60.223.72.201:8003/rtp/226.0.2.153:9136
CCTV1,http://60.223.72.201:8003/rtp/226.0.2.16:8040
CCTV1,http://60.223.72.201:8003/rtp/226.0.2.18:8056
CCTV1,http://211.90.92.238:4000/rtp/226.0.2.153:9136
CCTV1,http://211.90.92.238:4000/rtp/226.0.2.16:8040
CCTV1,http://211.90.92.238:4000/rtp/226.0.2.18:8056
CCTV1,http://110.185.39.49:8888/udp/239.93.0.184:5140
CCTV1,http://110.185.39.49:8888/udp/239.93.0.148:5140
CCTV1,http://144.255.15.132:5066/udp/239.21.1.120:5002
CCTV1,http://144.255.15.132:5066/udp/239.21.1.1:5002
CCTV1,http://220.176.159.183:8888/udp/239.252.219.200:5140
CCTV1,http://182.148.130.254:58888/udp/239.93.0.184:5140
CCTV1,http://182.148.130.254:58888/udp/239.93.0.148:5140
CCTV1,http://182.98.0.22:4022/udp/239.252.219.200:5140
CCTV2,http://222.70.229.193:8888/udp/239.45.1.109:5140
CCTV2,http://180.158.49.94:85/udp/239.45.1.109:5140
CCTV2,http://61.134.238.252:5555/rtp/226.0.2.154:9144
CCTV2,http://61.134.238.252:5555/rtp/226.0.2.19:8064
CCTV2,http://106.46.113.15:8011/tsfile/live/0002_1.m3u8
CCTV2,http://223.13.196.104:4022/udp/239.1.1.8:8008
CCTV2,http://144.52.199.170:8888/udp/239.21.1.151:5002
CCTV2,http://144.52.199.170:8888/udp/239.21.1.2:5002
CCTV2,http://183.186.47.192:8086/rtp/226.0.2.154:9144
CCTV2,http://183.186.47.192:8086/rtp/226.0.2.19:8064
CCTV2,http://115.153.138.220:8888/udp/239.252.220.183:5140
CCTV2,http://171.116.181.119:8003/rtp/226.0.2.154:9144
CCTV2,http://171.116.181.119:8003/rtp/226.0.2.19:8064
CCTV2,http://118.112.90.2:8888/udp/239.93.1.23:6000
CCTV2,http://118.112.90.2:8888/udp/239.93.0.149:5140
CCTV2,http://171.217.146.226:8888/udp/239.93.1.23:6000
CCTV2,http://171.217.146.226:8888/udp/239.93.0.149:5140
CCTV2,http://60.223.72.132:8003/rtp/226.0.2.154:9144
CCTV2,http://60.223.72.132:8003/rtp/226.0.2.19:8064
CCTV2,http://60.223.72.201:8003/rtp/226.0.2.154:9144
CCTV2,http://60.223.72.201:8003/rtp/226.0.2.19:8064
CCTV2,http://211.90.92.238:4000/rtp/226.0.2.154:9144
CCTV2,http://211.90.92.238:4000/rtp/226.0.2.19:8064
CCTV2,http://110.185.39.49:8888/udp/239.93.1.23:6000
CCTV2,http://110.185.39.49:8888/udp/239.93.0.149:5140
CCTV2,http://144.255.15.132:5066/udp/239.21.1.151:5002
CCTV2,http://144.255.15.132:5066/udp/239.21.1.2:5002
CCTV2,http://220.176.159.183:8888/udp/239.252.220.183:5140
CCTV2,http://182.148.130.254:58888/udp/239.93.1.23:6000
CCTV2,http://182.148.130.254:58888/udp/239.93.0.149:5140
CCTV2,http://182.98.0.22:4022/udp/239.252.220.183:5140
CCTV3,http://222.70.229.193:8888/udp/239.45.1.68:5140
CCTV3,http://180.158.49.94:85/udp/239.45.1.68:5140
CCTV3,http://61.134.238.252:5555/rtp/226.0.2.208:9576
CCTV3,http://61.134.238.252:5555/rtp/226.0.2.20:8072
CCTV3,http://106.46.113.15:8011/tsfile/live/0003_1.m3u8
CCTV3,http://223.13.196.104:4022/udp/239.1.1.9:8009
CCTV3,http://144.52.199.170:8888/udp/239.21.2.45:5002
CCTV3,http://144.52.199.170:8888/udp/239.21.1.3:5002
CCTV3,http://183.186.47.192:8086/rtp/226.0.2.208:9576
CCTV3,http://183.186.47.192:8086/rtp/226.0.2.20:8072
CCTV3,http://115.153.138.220:8888/udp/239.252.219.252:5140
CCTV3,http://115.153.138.220:8888/udp/239.252.220.193:5140
CCTV3,http://171.116.181.119:8003/rtp/226.0.2.208:9576
CCTV3,http://171.116.181.119:8003/rtp/226.0.2.20:8072
CCTV3,http://118.112.90.2:8888/udp/239.93.1.11:2223
CCTV3,http://118.112.90.2:8888/udp/239.93.0.150:5140
CCTV3,http://171.217.146.226:8888/udp/239.93.1.11:2223
CCTV3,http://171.217.146.226:8888/udp/239.93.0.150:5140
CCTV3,http://60.223.72.132:8003/rtp/226.0.2.208:9576
CCTV3,http://60.223.72.132:8003/rtp/226.0.2.20:8072
CCTV3,http://60.223.72.201:8003/rtp/226.0.2.208:9576
CCTV3,http://60.223.72.201:8003/rtp/226.0.2.20:8072
CCTV3,http://211.90.92.238:4000/rtp/226.0.2.208:9576
CCTV3,http://211.90.92.238:4000/rtp/226.0.2.20:8072
CCTV3,http://110.185.39.49:8888/udp/239.93.1.11:2223
CCTV3,http://110.185.39.49:8888/udp/239.93.0.150:5140
CCTV3,http://144.255.15.132:5066/udp/239.21.2.45:5002
CCTV3,http://144.255.15.132:5066/udp/239.21.1.3:5002
CCTV3,http://220.176.159.183:8888/udp/239.252.219.252:5140
CCTV3,http://220.176.159.183:8888/udp/239.252.220.193:5140
CCTV3,http://182.148.130.254:58888/udp/239.93.1.11:2223
CCTV3,http://182.148.130.254:58888/udp/239.93.0.150:5140
CCTV3,http://182.98.0.22:4022/udp/239.252.219.252:5140
CCTV3,http://182.98.0.22:4022/udp/239.252.220.193:5140
CCTV4,http://222.70.229.193:8888/udp/239.45.0.2:5140
CCTV4,http://180.158.49.94:85/udp/239.45.0.2:5140
CCTV4,http://61.134.238.252:5555/rtp/226.0.2.156:9160
