央视频道,#genre#
CCTV14,http://27.10.211.38:8001/udp/225.0.4.128:7980,0.3813
CCTV14,http://60.220.167.249:8083/rtp/226.0.2.31:8160,0.3499
CCTV14,http://60.220.167.143:8083/rtp/226.0.2.31:8160,0.3496
CCTV14,http://60.220.167.202:8084/rtp/226.0.2.31:8160,0.3301
CCTV14,http://171.121.82.184:8082/rtp/226.0.2.31:8160,0.3145
CCTV14,http://171.212.150.200:19999/udp/239.93.1.29:6000,0.1685
CCTV14,http://171.212.150.200:19999/udp/239.93.1.40:5140,0.1539
CCTV14,http://111.196.150.10:20002/rtp/239.3.1.65:8132,0.1111
CCTV14,http://183.185.167.239:8083/rtp/226.0.2.166:9240,0.0934
CCTV15,http://222.128.179.212:4022/rtp/239.3.1.153:8136,0.9402
CCTV15,http://171.212.150.200:19999/udp/239.93.0.103:5140,0.9294
CCTV15,http://60.220.167.249:8083/rtp/226.0.2.220:9672,0.9156
CCTV15,http://171.121.82.184:8082/rtp/226.0.2.220:9672,0.907
CCTV15,http://36.6.150.75:8888/rtp/238.1.79.64:4648,0.9056
CCTV15,http://117.29.232.157:9999/rtp/239.61.2.25:8144,0.736
CCTV15,http://27.10.211.38:8001/udp/225.0.4.220:7980,0.4596
CCTV15,http://60.220.167.143:8083/rtp/226.0.2.220:9672,0.4044
CCTV15,http://60.220.167.143:8083/rtp/226.0.2.32:8168,0.3501
CCTV15,http://171.121.82.184:8082/rtp/226.0.2.32:8168,0.3423
CCTV15,http://60.220.167.249:8083/rtp/226.0.2.32:8168,0.3418
CCTV15,http://60.220.167.202:8084/rtp/226.0.2.220:9672,0.3314
CCTV15,http://60.220.167.202:8084/rtp/226.0.2.32:8168,0.3217
CCTV15,http://111.201.161.228:10000/rtp/239.3.1.153:8136,0.1946
CCTV15,http://183.185.167.239:8083/rtp/226.0.2.220:9672,0.167
CCTV15,http://111.196.150.10:20002/rtp/239.3.1.153:8136,0.124
CCTV15,http://171.212.150.200:19999/udp/239.93.0.171:5140,0.1032
CCTV16,http://171.121.82.184:8082/rtp/226.0.2.169:9264,0.9097
CCTV16,http://60.220.167.143:8083/rtp/226.0.2.169:9264,0.6342
CCTV16,http://60.220.167.202:8084/rtp/226.0.2.169:9264,0.3659
CCTV17,http://36.6.150.75:8888/rtp/238.1.78.178:7296,0.9818
CCTV17,http://171.212.150.200:19999/udp/239.93.0.92:5140,0.9318
CCTV17,http://171.121.82.184:8082/rtp/226.0.2.170:9272,0.8885
CCTV17,http://36.46.99.53:8020/rtp/239.112.205.211:5140,0.7418
CCTV17,http://111.201.161.228:10000/rtp/239.3.1.151:8144,0.5976
CCTV17,http://117.29.232.157:9999/rtp/239.61.3.9:9572,0.4945
CCTV17,http://27.11.252.156:8008/udp/225.0.4.179:7980,0.3952
CCTV17,http://111.196.150.10:20002/rtp/239.3.1.151:8144,0.389
CCTV17,http://60.220.167.202:8084/rtp/226.0.2.170:9272,0.3835
CCTV17,http://60.220.167.143:8083/rtp/226.0.2.207:9568,0.3525
CCTV17,http://60.220.167.249:8083/rtp/226.0.2.207:9568,0.351
CCTV17,http://60.220.167.202:8084/rtp/226.0.2.207:9568,0.3111
CCTV17,http://171.121.82.184:8082/rtp/226.0.2.207:9568,0.3104
CCTV17,http://183.185.167.239:8083/rtp/226.0.2.170:9272,0.0824
CCTV2,http://36.6.150.75:8888/rtp/238.1.78.235:7752,0.9803
CCTV2,http://114.254.38.149:4021/rtp/239.3.1.60:8084,0.9452
CCTV2,http://60.220.167.249:8083/rtp/226.0.2.154:9144,0.9294
CCTV2,http://111.201.161.228:10000/rtp/239.3.1.60:8084,0.9023
CCTV2,http://222.128.179.212:4022/rtp/239.3.1.60:8084,0.8792
CCTV2,http://60.220.167.143:8083/rtp/226.0.2.154:9144,0.8502
CCTV2,http://171.212.150.200:19999/udp/239.93.1.23:6000,0.8354
CCTV2,http://27.10.211.38:8001/udp/225.0.4.132:7980,0.7192
CCTV2,http://27.11.252.156:8008/udp/225.0.4.132:7980,0.5341
CCTV2,http://60.220.167.143:8083/rtp/226.0.2.19:8064,0.3476
CCTV2,http://171.121.82.184:8082/rtp/226.0.2.19:8064,0.3409
CCTV2,http://60.220.167.202:8084/rtp/226.0.2.19:8064,0.3336
CCTV2,http://117.29.232.157:9999/rtp/239.61.2.174:9032,0.3048
CCTV2,http://60.220.167.202:8084/rtp/226.0.2.154:9144,0.193
CCTV2,http://60.220.167.249:8083/rtp/226.0.2.19:8064,0.1658
CCTV2,http://171.212.150.200:19999/udp/239.93.0.149:5140,0.1271
CCTV2,http://111.196.150.10:20002/rtp/239.3.1.60:8084,0.0964
CCTV2,http://183.185.167.239:8083/rtp/226.0.2.19:8064,0.0548
CCTV2,http://183.185.167.239:8083/rtp/226.0.2.154:9144,0.0538
CCTV3,http://171.121.82.184:8082/rtp/226.0.2.208:9576,0.9439
CCTV3,http://60.220.167.249:8083/rtp/226.0.2.208:9576,0.9397
CCTV3,http://36.6.150.75:8888/rtp/238.1.78.170:7232,0.8986
CCTV3,http://60.220.167.143:8083/rtp/226.0.2.208:9576,0.8692
CCTV3,http://111.201.161.228:10000/rtp/239.3.1.172:8001,0.7425
CCTV3,http://114.254.38.149:4021/rtp/239.3.1.172:8001,0.6248
CCTV3,http://27.10.211.38:8001/udp/225.0.4.142:7980,0.6109
CCTV3,http://222.128.179.212:4022/rtp/239.3.1.172:8001,0.5977
CCTV3,http://60.220.167.202:8084/rtp/226.0.2.208:9576,0.5322
CCTV3,http://171.121.82.184:8082/rtp/226.0.2.20:8072,0.3167
CCTV3,http://171.212.150.200:19999/udp/239.93.0.150:5140,0.2032
CCTV3,http://27.11.252.156:8008/udp/225.0.4.142:7980,0.1814
CCTV3,http://183.185.167.239:8083/rtp/226.0.2.20:8072,0.1304
CCTV3,http://111.196.150.10:20002/rtp/239.3.1.172:8001,0.0591
CCTV4,http://36.46.99.53:8020/rtp/239.112.205.202:5140,0.991
CCTV4,http://114.254.38.149:4021/rtp/239.3.1.105:8092,0.9384
CCTV4,http://111.201.161.228:10000/rtp/239.3.1.105:8092,0.9241
CCTV4,http://60.220.167.249:8083/rtp/226.0.2.156:9160,0.9219
CCTV4,http://171.212.150.200:19999/udp/239.93.1.105:5140,0.9203
CCTV4,http://60.220.167.143:8083/rtp/226.0.2.156:9160,0.8659
CCTV4,http://222.128.179.212:4022/rtp/239.3.1.105:8092,0.5715
CCTV4,http://27.10.211.38:8001/udp/225.0.4.176:7980,0.4922
CCTV4,http://60.220.167.143:8083/rtp/226.0.2.21:8080,0.3483
CCTV4,http://171.121.82.184:8082/rtp/226.0.2.21:8080,0.3467
CCTV4,http://60.220.167.202:8084/rtp/226.0.2.21:8080,0.311
CCTV4,http://60.220.167.202:8084/rtp/226.0.2.156:9160,0.2434
CCTV4,http://27.11.252.156:8008/udp/225.0.4.176:7980,0.2194
CCTV4,http://171.212.150.200:19999/udp/239.93.0.212:5140,0.1411
CCTV4,http://183.185.167.239:8083/rtp/226.0.2.21:8080,0.061
CCTV4欧洲,http://111.196.150.10:20002/rtp/239.3.1.213:4220,0.9396
CCTV4欧洲,http://111.201.161.228:10000/rtp/239.3.1.213:4220,0.9327
CCTV5,http://114.254.38.149:4021/rtp/239.3.1.173:8001,0.935
CCTV5,http://171.212.150.200:19999/udp/239.93.42.37:5140,0.9322
CCTV5,http://111.201.161.228:10000/rtp/239.3.1.173:8001,0.915
CCTV5,http://60.220.167.249:8083/rtp/226.0.2.209:9584,0.8944
CCTV5,http://171.121.82.184:8082/rtp/226.0.2.209:9584,0.795
CCTV5,http://27.10.211.38:8001/udp/225.0.4.143:7980,0.7081
CCTV5,http://60.220.167.143:8083/rtp/226.0.2.209:9584,0.7035
CCTV5,http://222.128.179.212:4022/rtp/239.3.1.173:8001,0.5282
CCTV5,http://117.29.232.157:9999/rtp/239.61.3.35:9728,0.4939
CCTV5,http://27.11.252.156:8008/udp/225.0.4.143:7980,0.4132
CCTV5,http://60.220.167.202:8084/rtp/226.0.2.209:9584,0.3732
CCTV5,http://171.121.82.184:8082/rtp/226.0.2.22:8088,0.3425
CCTV5,http://60.220.167.143:8083/rtp/226.0.2.22:8088,0.3421
CCTV5,http://60.220.167.202:8084/rtp/226.0.2.22:8088,0.3407
CCTV5,http://60.220.167.249:8083/rtp/226.0.2.22:8088,0.1669
CCTV5,http://183.185.167.239:8083/rtp/226.0.2.209:9584,0.0994
CCTV5,http://171.212.150.200:19999/udp/239.93.0.158:5140,0.0913
CCTV5,http://183.185.167.239:8083/rtp/226.0.2.22:8088,0.0529
CCTV5+,http://111.196.150.10:20002/rtp/239.3.1.130:8004,1.1093
CCTV5+,http://36.46.99.53:8020/rtp/239.111.205.13:5140,0.9965
CCTV5+,http://111.201.161.228:10000/rtp/239.3.1.130:8004,0.9454
CCTV5+,http://60.220.167.249:8083/rtp/226.0.2.168:9256,0.9248
CCTV5+,http://117.29.232.157:9999/rtp/239.61.2.171:9014,0.9173
CCTV5+,http://171.121.82.184:8082/rtp/226.0.2.168:9256,0.9054
CCTV5+,http://171.212.150.200:19999/udp/239.93.1.36:8004,0.6657
CCTV5+,http://60.220.167.143:8083/rtp/226.0.2.168:9256,0.4843
CCTV5+,http://222.128.179.212:4022/rtp/239.3.1.130:8004,0.42
CCTV5+,http://60.220.167.202:8084/rtp/226.0.2.168:9256,0.2647
CCTV6,http://171.212.150.200:19999/udp/239.93.1.13:2226,0.9416
CCTV6,http://36.6.150.75:8888/rtp/238.1.78.172:7248,0.9277
CCTV6,http://60.220.167.249:8083/rtp/226.0.2.210:9592,0.9245
CCTV6,http://117.29.232.157:9999/rtp/239.61.3.36:9734,0.9123
CCTV6,http://60.220.167.143:8083/rtp/226.0.2.210:9592,0.5954
CCTV6,http://171.121.82.184:8082/rtp/226.0.2.210:9592,0.5349
CCTV6,http://111.201.161.228:10000/rtp/239.3.1.174:8001,0.5102
CCTV6,http://27.10.211.38:8001/udp/225.0.4.144:7980,0.4467
CCTV6,http://60.220.167.143:8083/rtp/226.0.2.23:8096,0.3427
CCTV6,http://171.121.82.184:8082/rtp/226.0.2.23:8096,0.3338
CCTV6,http://60.220.167.202:8084/rtp/226.0.2.23:8096,0.3318
CCTV6,http://60.220.167.202:8084/rtp/226.0.2.210:9592,0.3309
CCTV6,http://27.11.252.156:8008/udp/225.0.4.144:7980,0.2558
CCTV6,http://111.196.150.10:20002/rtp/239.3.1.174:8001,0.1544
CCTV6,http://171.212.150.200:19999/udp/239.93.0.64:5140,0.0651
CCTV6,http://183.185.167.239:8083/rtp/226.0.2.23:8096,0.0595
CCTV7,http://36.6.150.75:8888/rtp/238.1.78.239:7784,0.9855
CCTV7,http://36.46.99.53:8020/rtp/239.112.205.83:5140,0.9851
CCTV7,http://60.220.167.249:8083/rtp/226.0.2.159:9184,0.9298
CCTV7,http://171.121.82.184:8082/rtp/226.0.2.159:9184,0.8568
CCTV7,http://117.29.232.157:9999/rtp/239.61.2.175:9038,0.821
CCTV7,http://60.220.167.143:8083/rtp/226.0.2.159:9184,0.627
CCTV7,http://171.212.150.200:19999/udp/239.93.1.67:5140,0.6246
CCTV7,http://222.128.179.212:4022/rtp/239.3.1.61:8104,0.4966
CCTV7,http://27.11.252.156:8008/udp/225.0.4.127:7980,0.4586
CCTV7,http://60.220.167.143:8083/rtp/226.0.2.24:8104,0.3485
CCTV7,http://171.121.82.184:8082/rtp/226.0.2.24:8104,0.3414
CCTV7,http://27.10.211.38:8001/udp/225.0.4.127:7980,0.3183
CCTV7,http://60.220.167.202:8084/rtp/226.0.2.159:9184,0.2652
CCTV7,http://183.185.167.239:8083/rtp/226.0.2.159:9184,0.1532
CCTV7,http://171.212.150.200:19999/udp/239.93.0.79:5140,0.1212
CCTV7,http://111.196.150.10:20002/rtp/239.3.1.61:8104,0.1129
CCTV8,http://36.46.99.53:8020/rtp/239.112.205.224:5140,0.9942
CCTV8,http://171.212.150.200:19999/udp/239.93.42.39:5140,0.9394
CCTV8,http://60.220.167.249:8083/rtp/226.0.2.211:9600,0.9247
CCTV8,http://36.6.150.75:8888/rtp/238.1.78.173:7256,0.9182
CCTV8,http://117.29.232.157:9999/rtp/239.61.3.37:9740,0.8166
CCTV8,http://60.220.167.143:8083/rtp/226.0.2.211:9600,0.443
CCTV8,http://27.10.211.38:8001/udp/225.0.4.137:7980,0.4301
CCTV8,http://60.220.167.249:8083/rtp/226.0.2.25:8112,0.3501
CCTV8,http://171.121.82.184:8082/rtp/226.0.2.25:8112,0.3484
CCTV8,http://60.220.167.143:8083/rtp/226.0.2.25:8112,0.3482
CCTV8,http://60.220.167.202:8084/rtp/226.0.2.211:9600,0.3415
CCTV8,http://60.220.167.202:8084/rtp/226.0.2.25:8112,0.3379
CCTV8,http://27.11.252.156:8008/udp/225.0.4.137:7980,0.331
CCTV8,http://183.185.167.239:8083/rtp/226.0.2.25:8112,0.1781
CCTV8,http://171.212.150.200:19999/udp/239.93.0.154:5140,0.0665
CCTV9,http://60.220.167.249:8083/rtp/226.0.2.161:9200,0.9382
CCTV9,http://117.29.232.157:9999/rtp/239.61.2.172:9020,0.8206
CCTV9,http://171.121.82.184:8082/rtp/226.0.2.161:9200,0.8033
CCTV9,http://60.220.167.143:8083/rtp/226.0.2.161:9200,0.7744
CCTV9,http://36.46.99.53:8020/rtp/239.112.205.85:5140,0.6396
CCTV9,http://27.10.211.38:8001/udp/225.0.4.131:7980,0.411
CCTV9,http://171.121.82.184:8082/rtp/226.0.2.26:8120,0.353
CCTV9,http://60.220.167.143:8083/rtp/226.0.2.26:8120,0.3499
CCTV9,http://60.220.167.249:8083/rtp/226.0.2.26:8120,0.3366
CCTV9,http://60.220.167.202:8084/rtp/226.0.2.26:8120,0.3211
CCTV9,http://60.220.167.202:8084/rtp/226.0.2.161:9200,0.3181
CCTV9,http://27.11.252.156:8008/udp/225.0.4.131:7980,0.2536
CCTV9,http://171.212.150.200:19999/udp/239.93.1.24:5140,0.2102
CCTV9,http://183.185.167.239:8083/rtp/226.0.2.161:9200,0.0975
CCTV9,http://111.196.150.10:20002/rtp/239.3.1.62:8112,0.0879
CCTV9,http://183.185.167.239:8083/rtp/226.0.2.26:8120,0.0704
CCTV世界地理,http://171.121.82.184:8082/rtp/226.0.2.222:9688,0.8367
CCTV世界地理,http://60.220.167.249:8083/rtp/226.0.2.222:9688,0.8253
CCTV世界地理,http://60.220.167.202:8084/rtp/226.0.2.222:9688,0.5723
CCTV世界地理,http://60.220.167.143:8083/rtp/226.0.2.222:9688,0.5081
CCTV世界地理,http://183.185.167.239:8083/rtp/226.0.2.222:9688,0.1562
CCTV兵器科技,http://36.6.150.75:8888/rtp/238.1.79.56:4584,0.9238
CCTV兵器科技,http://171.121.82.184:8082/rtp/226.0.2.223:9696,0.8906
CCTV兵器科技,http://60.220.167.249:8083/rtp/226.0.2.223:9696,0.8815
CCTV兵器科技,http://60.220.167.143:8083/rtp/226.0.2.223:9696,0.4386
CCTV兵器科技,http://60.220.167.202:8084/rtp/226.0.2.223:9696,0.2061
CCTV央视文化,http://171.121.82.184:8082/rtp/226.0.2.219:9664,0.8775
CCTV央视文化,http://60.220.167.202:8084/rtp/226.0.2.219:9664,0.677
CCTV央视文化,http://60.220.167.143:8083/rtp/226.0.2.219:9664,0.3952
CCTV央视文化,http://183.185.167.239:8083/rtp/226.0.2.219:9664,0.1136
CCTV女性时尚,http://60.220.167.249:8083/rtp/226.0.2.226:9720,0.9317
CCTV女性时尚,http://36.6.150.75:8888/rtp/238.1.79.55:4576,0.9251
CCTV女性时尚,http://171.121.82.184:8082/rtp/226.0.2.226:9720,0.921
